order_id,date,customer,region,product,units,unit_price,returned,notes,revenue
10001,2024-04-12,Judy,East,Widget D,7.0,13.37,False,,93.58999999999999
10002,2024-12-14,Grace,East,Widget A,2.0,30.07,False,fragile,60.14
10003,2024-09-27,Sybil,East,Widget E,4.0,11.99,False,discount,47.96
10004,2024-04-16,Diana,South,Widget D,3.0,45.0,False,urgent,135.0
10005,2024-03-12,Olivia,South,Widget C,3.0,47.12,False,bulk order,141.35999999999999
10006,2024-07-07,Diana,West,Widget E,3.0,12.69,False,fragile,38.07
10007,2024-01-21,Eve,West,Widget E,4.0,11.89,False,urgent,47.56
10008,2024-04-12,Diana,West,Widget D,6.0,18.86,False,,113.16
10009,2024-05-01,Trent,West,Widget D,3.0,47.2,False,bulk order,141.60000000000002
10010,2024-08-02,Frank,North,Widget B,7.0,40.76,True,gift wrap,285.32
10011,2024-11-26,Bob,East,Widget B,3.0,37.06,True,,111.18
10012,2024-03-28,Mallory,North,Widget E,3.0,41.05,False,fragile,123.14999999999999
10013,2024-04-09,Peggy,North,Widget B,11.0,17.98,False,fragile,197.78
10014,2024-12-25,Eve,North,Widget C,2.0,20.26,False,bulk order,40.52
10015,2024-05-31,Frank,North,Widget A,8.0,22.71,False,,181.68
10016,2024-05-10,Judy,East,Widget E,10.0,34.2,False,,342.0
10017,2024-05-29,Heidi,North,Widget A,4.0,34.33,True,bulk order,137.32
10018,2024-11-04,Peggy,West,Widget B,5.0,18.34,False,bulk order,91.7
10019,2024-09-14,Charlie,South,Widget D,5.0,27.47,False,,137.35
10020,2024-12-09,Niaj,West,Widget E,4.0,37.6,False,,150.4
10021,2024-10-20,Ruth,South,Widget B,8.0,22.38,False,,179.04
10022,2024-07-10,Sybil,West,Widget C,11.0,13.02,False,gift wrap,143.22
10023,2024-10-03,Alice,West,Widget E,7.0,17.9,False,discount,125.29999999999998
10024,2024-06-09,Judy,South,Widget E,5.0,16.59,False,urgent,82.95
10025,2024-11-09,Judy,East,Widget D,7.0,35.28,False,discount,246.96
10026,2024-01-22,Bob,North,Widget E,4.0,12.74,True,gift wrap,50.96
10027,2024-09-09,Ivan,West,Widget D,5.0,45.39,False,,226.95
10028,2024-08-23,Olivia,East,Widget B,3.0,13.38,False,fragile,40.14
10029,2024-12-10,Ruth,North,Widget C,8.0,33.92,False,,271.36
10030,2024-02-18,Trent,East,Widget C,2.0,47.18,False,urgent,94.36
10031,2024-02-28,Uma,East,Widget E,7.0,12.5,False,bulk order,87.5
10032,2024-06-18,Niaj,North,Widget E,2.0,25.32,False,urgent,50.64
10033,2024-07-06,Heidi,West,Widget B,2.0,23.12,False,,46.24
10034,2024-09-27,Sybil,East,Widget D,4.0,23.77,False,discount,95.08
10035,2024-07-08,Quentin,West,Widget C,6.0,34.01,False,fragile,204.06
10036,2024-06-23,Judy,West,Widget D,6.0,20.48,True,urgent,122.88
