employee_id,name,gender,age,country,state,department,salary,joining_date,experience_years,performance_score,email,phone_number
1,Katrina Riley,Male,51,UK,South Allisonmouth,Marketing,97018,2020-04-30,5,3.88,becky87@gmail.com,326-034-8112
2,Divij Raja,Other,60,UK,Bhilwara,Marketing,83808,2016-05-25,2,4.57,lagan10@krishnan-swamy.info,07045303968
3,Ivana Divan,Male,29,India,Rajasthan,Marketing,160911,2019-10-24,11,2.52,gargdarshit@hotmail.com,1654209912
4,Miss Margaret Lucas,Other,24,India,Maharashtra,HR,244675,2022-12-01,7,4.53,howarddale@yahoo.co.uk,+44121 4960026
5,Ms Kathleen Turner,Other,34,UK,Hallstad,Sales,114263,2016-09-15,16,2.67,tmistry@gould-ali.com,0292018628
6,Divyansh Sabharwal,Male,35,India,Karnataka,IT,194621,2016-08-17,18,4.71,bobalvedika@yahoo.com,6420526167
7,Levi Mason,Male,24,India,Tamil Nadu,Marketing,153641,2025-04-08,18,3.73,joshuazimmerman@yahoo.com,2850212338
8,Dr Terry Knight,Female,27,India,Rajasthan,Finance,246545,2018-12-31,2,4.27,joanneyates@outlook.com,0141 496 0554
9,Brittney Daugherty,Female,32,UK,Lake Kaylabury,Operations,202992,2024-06-03,17,3.51,smithjacqueline@hotmail.com,(765)394-8138x3097
10,Taylor Smith,Female,24,UK,Kristinmouth,IT,58293,2017-04-20,18,4.79,kristensimmons@fields.org.au,+61.7.8093.7835
11,Michael Cole,Male,41,USA,Susanport,Operations,84884,2019-05-12,8,4.05,brandy04@davenport-baxter.com,5534993617
12,Chloe Knight-Richards,Male,55,USA,North Sian,Operations,46994,2023-06-07,8,2.6,max47@oliver-lane.net,+44114 4960613
13,Jeffrey Franklin,Female,43,USA,Marshallton,Operations,111676,2021-03-22,1,2.8,tara18@hotmail.com.au,+61737084979
14,Lydia Robinson,Female,36,USA,East Victoriashire,HR,52847,2018-10-14,11,4.82,teresafisher@stevens.com,+441514960881
15,Jacob Walter,Female,35,Australia,Aprilfort,Admin,71181,2022-08-21,10,4.69,jessethompson@dixon-barrett.org.au,0461-883-553
16,Lindsay Lynch,Other,38,Australia,Lake Cassandraview,Operations,111701,2021-01-05,7,3.64,stacymartin@lewis.com,899.951.7064x514
17,Chirag Bora,Other,32,USA,Gudivada,HR,161452,2016-03-07,7,3.59,pkhurana@yahoo.com,00754552538
18,Bhamini Ramaswamy,Female,40,India,Tamil Nadu,Admin,50773,2018-06-16,12,2.62,elakshi43@hotmail.com,7919808047
19,Vincent Bates,Male,45,India,Maharashtra,IT,162798,2017-12-29,5,4.84,gilbertjoel@outlook.com,+441214960599
